id,label
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/427.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/406.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/658.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/132.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/177.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/5361.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/213.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/5354.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/483.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/411.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/561.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/5362.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/461.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/638.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/642.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/322.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/5420.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/413.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/5360.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/795.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/130.hdf5,2
/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/293.hdf5,2
